CardNumber,CardHolderFullName,CleansedCardholderName,CostCenter,MonthlyTransactionLimit,DailyTransactionLimit,SingleTransactionLimit,DailyCreditLimit,CardActivationDate,IssuedDate,EmployeeCompany,EmployeeDepartment,EmployeeID/Number,CardExpiryDate,CardCloseDate,CardStatus,CardStatusReason,CardType,ApprovedBy(ID),ApprovedBy(Name),ApprovedDate,UserDefinedColumn1,UserDefinedColumn2,UserDefinedColumn3,UserDefinedColumn4,UserDefinedColumn5
8215,Employee Name31,Employee Name31,4,0,,,,,11/25/2009,,,Employee ID31,11/30/2015,4/30/2014,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8391,Employee Name135,Employee Name135,2,0,,,,,03-03-2010,,,Employee ID135,3/31/2021,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
5302,Employee Name49,Employee Name49,8,0,,,,,11/25/2009,,,Employee ID49,5/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
1805,Employee Name72,Employee Name72,7,0,,,,,09-01-2016,,,Employee ID72,9/30/2018,07-12-2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
3901,Employee Name104,Employee Name104,8,0,,,,,04-08-2016,,,Employee ID104,4/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
8005,Employee Name28,Employee Name28,7,0,,,,,11/13/2009,,,Employee ID28,11/30/2011,07-01-2011,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
344,Employee Name52,Employee Name52,3,0,,,,,7/23/2010,,,Employee ID52,7/31/2012,09-01-2010,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7357,Employee Name44,Employee Name44,2,0,,,,,06-12-2012,,,Employee ID44,6/30/2018,04-10-2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
5354,Employee Name43,Employee Name43,3,0,,,,,07-10-2013,,,Employee ID43,7/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
2021,Employee Name18,Employee Name18,9,0,,,,,8/27/2018,,,Employee ID18,8/31/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
5150,Employee Name62,Employee Name62,3,0,,,,,5/13/2011,,,Employee ID62,5/31/2015,3/31/2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8533,Employee Name30,Employee Name30,8,0,,,,,7/16/2013,,,Employee ID30,7/31/2019,04-01-2019,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7291,Employee Name51,Employee Name51,8,0,,,,,5/30/2018,,,Employee ID51,6/30/2020,04-03-2019,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
2165,Employee Name75,Employee Name75,7,0,,,,,11-11-2009,,,Employee ID75,11/30/2015,9/30/2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
943,Employee Name24,Employee Name24,9,0,,,,,11/16/2009,,,Employee ID24,11/30/2011,04-01-2010,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
7949,Employee Name114,Employee Name114,2,0,,,,,11/25/2009,,,Employee ID114,11/30/2013,11/16/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7777,Employee Name83,Employee Name83,2,0,,,,,11-12-2009,,,Employee ID83,11/30/2013,11/14/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
6482,Employee Name140,Employee Name140,8,0,,,,,12/14/2009,,,Employee ID140,12/31/2015,4/15/2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
2967,Employee Name25,Employee Name25,8,0,,,,,10/17/2013,,,Employee ID25,10/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
3233,Employee Name2,Employee Name2,8,0,,,,,11/29/2012,,,Employee ID2,11/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
6007,Employee Name94,Employee Name94,3,0,,,,,11-12-2009,,,Employee ID94,11/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
4928,Employee Name132,Employee Name132,9,0,,,,,11/23/2018,,,Employee ID132,11/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
8631,Employee Name156,Employee Name156,2,0,,,,,11/26/2018,,,Employee ID156,11/30/2020,12-03-2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1424,Employee Name138,Employee Name138,9,0,,,,,9/24/2010,,,Employee ID138,9/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
6275,Employee Name74,Employee Name74,2,0,,,,,3/14/2014,,,Employee ID74,3/31/2016,02-02-2016,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
6864,Employee Name3,Employee Name3,8,0,,,,,7/15/2016,,,Employee ID3,7/31/2020,05-07-2019,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
923,Employee Name35,Employee Name35,8,0,,,,,6/17/2010,,,Employee ID35,6/30/2014,03-01-2013,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
5382,Employee Name45,Employee Name45,7,0,,,,,6/16/2015,,,Employee ID45,6/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
8248,Employee Name12,Employee Name12,9,0,,,,,06-05-2013,,,Employee ID12,6/30/2019,05-07-2019,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
182,Employee Name136,Employee Name136,2,0,,,,,11-11-2009,,,Employee ID136,11/30/2017,02-09-2016,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8912,Employee Name81,Employee Name81,2,0,,,,,6/20/2014,,,Employee ID81,6/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
